Drug Name,Side Effects,Age Category,Medical Condition
Chlo Hist,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Chlophedianol / Pyrilamine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and allergy symptoms
Chlorpheniramine / Ibuprofen / Pseudoephedrine,"Upset stomach, headache, dizziness",Adult,"Relief of sinus congestion, pain, and fever"
Chlorpheniramine / Phenylephrine / Pyrilamine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and allergy symptoms
Cold Multi-Symptom (Nighttime),"Drowsiness, dry mouth, blurred vision",Adult,Relief of cold symptoms and sleeplessness at night
Comtrex Cold and Cough Maximum Strength,"Upset stomach, headache, dizziness",Adult,Relief of cold and cough symptoms
Comtrex Cold and Flu Maximum Strength Tablet,"Upset stomach, headache, dizziness",Adult,Relief of cold and flu symptoms
Contac Cold + Flu (Night Formula),"Drowsiness, dry mouth, blurred vision",Adult,Relief of cold and flu symptoms at night
Delsym Cough+ Cold Day Time,"Upset stomach, drowsiness, headache",Adult,Relief of cough and cold symptoms during the day
Delsym Cough+ Cold Night Time,"Upset stomach, drowsiness, headache",Adult,Relief of cough and cold symptoms at night
Deltuss DMX,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and nasal congestion
Dexbrompheniramine / Pseudoephedrine,"Nervousness, increased heart rate, dizziness",Adult,Relief of allergy symptoms and nasal congestion
Dextromethorphan / Phenylephrine / Pyrilamine,"Drowsiness, dry mouth, blurred vision",Adult,"Relief of cough, nasal congestion, and allergy symptoms"
Dextromethorphan / Phenylephrine / Triprolidine,"Drowsiness, dry mouth, blurred vision",Adult,"Relief of cough, nasal congestion, and allergy symptoms"
Diabetic Tussin Night Time Formula,"Drowsiness, upset stomach, headache",Adult,Relief of cough and cold symptoms at night
Dologen,"Upset stomach, drowsiness, headache",Adult,Relief of sinus congestion and pain
Doxylamine / Phenylephrine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and allergy symptoms
Dristan Cold Multi Symptom Formula,"Upset stomach, headache, dizziness",Adult,Relief of cold symptoms and nasal congestion
Flutabs,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Ibuprofen / Phenylephrine,"Upset stomach, headache, dizziness",Adult,"Relief of sinus pain, fever, and nasal congestion"
"Mucinex Children's Cold, Cough & Sore Throat","Upset stomach, headache, dizziness",Child,"Relief of cold symptoms, cough, and sore throat in children"
Ninjacof,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and nasal congestion
Norel AD,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Phenylephrine / Promethazine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and allergy symptoms
Poly-Tussin AC,"Upset stomach, drowsiness, headache",Adult,Relief of cough and nasal congestion
Poly Hist Forte,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Robitussin Peak Cold Nighttime Cold + Flu,"Upset stomach, headache, dizziness",Adult,"Relief of cold, cough, and flu symptoms at night"
Ru-Hist Forte,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Sinus & Allergy PE,"Nervousness, increased heart rate, dizziness",Adult,Relief of sinus and allergy symptoms
Sudafed PE Head Congestion + Pain,"Upset stomach, dizziness, headache",Adult,Relief of head congestion and pain
Sudafed PE Pressure+Pain+Cough,"Upset stomach, dizziness, headache",Adult,"Relief of sinus pressure, pain, and cough"
Theraflu Flu & Sore Throat,"Upset stomach, drowsiness, headache",Adult,Relief of flu symptoms and sore throat
Theraflu Nighttime Severe Cold & Cough Caplets,"Upset stomach, drowsiness, headache",Adult,Relief of severe cold and cough symptoms at night
Theraflu Sinus & Cold,"Upset stomach, drowsiness, headache",Adult,Relief of sinus congestion and cold symptoms
Theraflu Warming Relief Daytime Severe Cold & Cough,"Upset stomach, drowsiness, headache",Adult,Relief of severe cold and cough symptoms during the day
Theraflu Warming Relief Nighttime Severe Cold & Cough,"Upset stomach, drowsiness, headache",Adult,Relief of severe cold and cough symptoms at night
Triaminic Multi-Symptom Fever,"Upset stomach, drowsiness, headache",Child,Relief of multiple symptoms including fever in children
Tylenol Children's Cold + Cough + Runny Nose,"Upset stomach, drowsiness, headache",Child,"Relief of cold symptoms, cough, and runny nose in children"
Tylenol Children's Cold + Flu,"Upset stomach, drowsiness, headache",Child,Relief of cold and flu symptoms in children
Tylenol Cold & Cough Nighttime,"Upset stomach, drowsiness, headache",Adult,"Relief of cold symptoms, cough, and nighttime relief"
Tylenol Cold Multi-Symptom Nighttime Liquid,"Upset stomach, drowsiness, headache",Adult,Relief of multiple cold symptoms at night
Tylenol Plus Children's Cold,"Upset stomach, drowsiness, headache",Child,Relief of cold symptoms in children
Tylenol Sinus Congestion & Pain Nighttime,"Upset stomach, drowsiness, headache",Adult,Relief of sinus congestion and pain at night
Vicks VapoSteam,"Irritation of eyes, skin, and respiratory tract",Adult,Inhalant for steam therapy during cold and flu
Abatuss DMX,"Upset stomach, drowsiness, headache",Adult,Relief of cough and nasal congestion
Acetaminophen / Caffeine,"Upset stomach, headache",Adult,Relief of pain and fever with added caffeine
Acetaminophen / Chlorpheniramine / Dextromethorphan / Guaifenesin,"Upset stomach, drowsiness",Adult,Relief of multiple cold symptoms
Acetaminophen / Chlorpheniramine / Dextromethorphan,"Upset stomach, drowsiness",Adult,Relief of cold symptoms
Acetaminophen / Dexbrompheniramine,"Upset stomach, drowsiness, headache",Adult,Relief of cold symptoms
Acetaminophen / Dextromethorphan / Diphenhydramine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cold symptoms, cough, and allergy symptoms"
Acetaminophen / Dextromethorphan / Triprolidine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cold symptoms, cough, and allergy symptoms"
Acetaminophen / Dextromethorphan,"Upset stomach, drowsiness, dizziness",Adult,Relief of cold symptoms and cough
Advil Children's Allergy Sinus,"Upset stomach, drowsiness, headache",Child,Relief of allergy and sinus symptoms in children
Alahist D,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and congestion
Allan Tannate Pediatric,"Upset stomach, drowsiness, headache",Child,Relief of cold and allergy symptoms in children
Allerest PE,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Allerfrim,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Ambifed CD,"Upset stomach, drowsiness, headache",Adult,Relief of cold and allergy symptoms
Aphedrid,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Avedana Medicated Chest Rub,"Skin irritation, redness",Adult,Topical application for chest congestion relief
Benadryl Allergy Plus Congestion,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
BP Allergy JR,"Upset stomach, drowsiness, headache",Child,Relief of allergy symptoms in children
Brompheniramine / Codeine / Phenylephrine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cold symptoms, cough, and nasal congestion"
C-Tanna 12,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Camphor / Menthol,"Skin irritation, redness",Adult,Topical application for relief of chest congestion
Capron DMT,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Carbetapentane / Chlorpheniramine,"Upset stomach, drowsiness, headache",Adult,Relief of cough and allergy symptoms
Children's Triacting,"Upset stomach, drowsiness, headache",Child,Relief of cold and allergy symptoms in children
Chlophedianol / Dexbrompheniramine,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Chlophedianol / Dexchlorpheniramine / Pseudoephedrine,"Upset stomach, drowsiness, headache",Adult,"Relief of nasal congestion, allergy symptoms, and cough"
Chlorcyclizine / Phenylephrine,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Chlorex-A 12,"Upset stomach, drowsiness, headache",Adult,Relief of cold and allergy symptoms
Chlorex A,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Chlorpheniramine / Codeine / Pseudoephedrine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cold symptoms, cough, and nasal congestion"
Chlorpheniramine / Codeine,"Upset stomach, drowsiness, dizziness",Adult,Relief of cough and allergy symptoms
Chlorpheniramine / Phenylephrine / Phenyltoloxamine,"Upset stomach, drowsiness, headache",Adult,"Relief of allergy symptoms, nasal congestion, and cough"
ChlorTan D,"Upset stomach, drowsiness, headache",Adult,"Relief of allergy symptoms, nasal congestion, and cough"
Clear Cough PM Multi-Symptom,"Upset stomach, drowsiness, headache",Adult,Relief of cough and cold symptoms at night
Codar AR,"Upset stomach, drowsiness, headache",Adult,"Relief of nasal congestion, allergy symptoms, and cough"
Codeine / Phenylephrine / Triprolidine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cold symptoms, nasal congestion, and cough"
Codimal DM,"Upset stomach, drowsiness, headache",Adult,Relief of cough and cold symptoms
Coditussin DAC,"Upset stomach, drowsiness, headache",Adult,"Relief of cough, nasal congestion, and allergy symptoms"
Comtrex Cold & Cough,"Upset stomach, drowsiness, headache",Adult,"Relief of cold symptoms, cough, and nasal congestion"
Comtrex Nighttime Cold & Cough,"Upset stomach, drowsiness, headache",Adult,"Relief of cold symptoms, cough, and nasal congestion at night"
Comtrex Severe Cold & Sinus,"Upset stomach, drowsiness, headache",Adult,Relief of severe cold symptoms and nasal congestion
Conal,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Conex,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Contac Cold + Flu (Night) Cooling Relief Liquid,"Upset stomach, drowsiness, headache",Adult,Relief of cold and flu symptoms at night
Dallergy,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Dallergy Drops,"Upset stomach, drowsiness, headache",Child,Relief of allergy symptoms and nasal congestion
Decorel Forte Plus,"Upset stomach, drowsiness, headache",Adult,"Relief of cold symptoms, cough, and nasal congestion"
Delsym Cough & Sore Throat,"Upset stomach, drowsiness, headache",Adult,Relief of cough and sore throat
Delsym Night Time Multi-Symptom,"Upset stomach, drowsiness, headache",Adult,Relief of cold symptoms and cough at night
Dexchlorpheniramine / Dextromethorphan / Pseudoephedrine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of nasal congestion, cough, and allergy symptoms"
Dextromethorphan / Diphenhydramine / Phenylephrine,"Upset stomach, drowsiness, dizziness",Adult,"Relief of cough, runny nose, and nasal congestion"
Dextromethorphan / Pyrilamine,"Upset stomach, drowsiness, headache",Adult,Relief of cough and allergy symptoms
Dixaphedrine,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Duraflu,"Upset stomach, drowsiness, headache",Adult,Relief of cold and flu symptoms
Dytan-D,"Upset stomach, drowsiness, headache",Adult,Relief of nasal congestion and allergy symptoms
Dytan-DM,"Upset stomach, drowsiness, headache",Adult,Relief of cough and nasal congestion
Ed ChlorPed D,"Upset stomach, drowsiness, headache",Child,Relief of nasal congestion and allergy symptoms
Excedrin Quick Tab,"Upset stomach, drowsiness, headache",Adult,Relief of headache and migraine
Excedrin Tension Headache,"Upset stomach, drowsiness, headache",Adult,Relief of tension headache
Fast Freeze,"Skin irritation, allergic reaction",Adult,Temporary relief of minor aches and pains of muscles and joints
Flu & Severe Cold & Cough Daytime Powder,"Upset stomach, drowsiness, headache",Adult,"Relief of flu, severe cold, and cough symptoms during the day"
Freeze It,"Skin irritation, allergic reaction",Adult,Temporary relief of minor aches and pains of muscles and joints
GNP Cold Relief Plus,"Upset stomach, drowsiness, headache",Adult,Relief of cold symptoms
Guaifen DAC,"Upset stomach, drowsiness, headache",Adult,Relief of cough and nasal congestion
Histafed,"Upset stomach, drowsiness, headache",Adult,Relief of allergy symptoms and nasal congestion
Histex-AC,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Histex-DM,"Drowsiness, dizziness, dry mouth",Adult,Relief of cough and allergy symptoms
Histex-PE,"Upset stomach, nervousness, dizziness",Adult,Relief of allergy symptoms and nasal congestion
Lortuss EX,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and nasal congestion
M-End PE,"Nervousness, dizziness, dry mouth",Adult,Relief of nasal congestion and allergy symptoms
Medicidin-D,"Drowsiness, dry mouth, blurred vision",Adult,"Relief of nasal congestion, cough, and allergy symptoms"
Mucinex Nightshift Cold & Flu,"Upset stomach, drowsiness, headache",Adult,Relief of cold and flu symptoms
Nalex-A,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and cough
Nalex A 12,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and cough
NoHist LQ,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Novahistine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Onset Forte,"Drowsiness, dry mouth, blurred vision",Adult,"Relief of cough, nasal congestion, and allergy symptoms"
Panatuss PED,"Drowsiness, dry mouth, blurred vision",Child,Relief of cough and nasal congestion
Phena-Plus,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Phenagil,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Pheniramine / Phenylephrine,"Drowsiness, dry mouth, blurred vision",Adult,Relief of allergy symptoms and nasal congestion
Phenylephrine / Triprolidine,"Nervousness, dizziness, dry mouth",Adult,Relief of nasal congestion and allergy symptoms
Robitussin Peak Cold Daytime Cold + Flu,"Upset stomach, drowsiness, headache",Adult,"Relief of cold, flu, and cough symptoms during the day"
SuTan-DM,"Nervousness, dizziness, dry mouth",Adult,Relief of cough and nasal congestion
Tannic-12 S,"Drowsiness, dry mouth, blurred vision",Adult,Relief of nasal congestion and allergy symptoms
Theracaps Multi-Symptom Cough & Cold Reliever,"Upset stomach, drowsiness, dry mouth",Child,Relief of cough and cold symptoms
Triaminic Softchews Cough & Sore Throat,"Upset stomach, drowsiness, headache",Child,Relief of cough and sore throat
Tricode GF,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and cold symptoms
Tusnel C,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and cold symptoms
Tuzistra XR,"Drowsiness, dizziness, dry mouth",Adult,Relief of cough and congestion
Tylenol Allergy Multi-Symptom,"Upset stomach, drowsiness, headache",Adult,"Relief of allergy symptoms, nasal congestion, and cough"
Tylenol Children's Cold + Cough + Sore Throat,"Upset stomach, drowsiness, headache",Child,"Relief of cold, cough, and sore throat symptoms"
Tylenol Cough & Sore Throat Nighttime,"Upset stomach, drowsiness, headache",Adult,Relief of nighttime cough and sore throat
Tylenol Cough and Sore Throat Daytime,"Upset stomach, drowsiness, headache",Adult,Relief of daytime cough and sore throat
Vanacof,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and congestion
Vi-Sudo,"Drowsiness, dry mouth, blurred vision",Adult,Relief of cough and nasal congestion
